run_id,label,timestamp,latitude,longitude,axis_m,elapsed_s,axis_velocity_mps,nearest_sensor,nearest_sensor_distance_m,second_sensor_distance_m,sensor_margin_m,nearest_station,nearest_station_distance_m,second_station_distance_m,station_margin_m,nearest_station_axis_m,side_label,direction,lap_progress_stationized
0,mustang,2024-03-29 18:42:01+00:00,40.28974,-88.126252,-108.02625789810209,0.0,0.0,rs8,30.715353535428157,35.106836560570095,4.3914830251419374,1,30.715353535428157,80.84665198844661,50.13129845301845,-78.92951005359993,positive_cross,ambiguous,0.46117133621292294
0,mustang,2024-03-29 18:42:02+00:00,40.289742,-88.126259,-108.23790126458306,1.0,-0.21164336648097049,rs8,31.13762333615498,34.972497911273294,3.834874575118313,1,31.13762333615498,81.15255381145171,50.01493047529673,-78.92951005359993,positive_cross,ambiguous,0.4572520146114235
0,mustang,2024-03-29 18:42:03+00:00,40.289743,-88.126266,-108.33836779856205,2.0,-0.10046653397898808,rs8,31.464257224085657,34.75412882741496,3.2898716033293027,1,31.464257224085657,81.35235622905306,49.8880990049674,-78.92951005359993,positive_cross,ambiguous,0.4553915232414423
0,mustang,2024-03-29 18:42:04+00:00,40.289744,-88.126272,-108.4403643746229,3.0,-0.10199657606085566,rs8,31.76529446093137,34.58795055643084,2.8226560954994717,1,31.76529446093137,81.54247300409902,49.77717854316765,-78.92951005359993,positive_cross,ambiguous,0.4535026977588338
0,mustang,2024-03-29 18:42:05+00:00,40.289745,-88.126278,-108.54236095147371,4.0,-0.10199657685080865,rs8,32.07197203196882,34.42885688041739,2.3568848484485727,1,32.07197203196882,81.73546938225196,49.663497350283144,-78.92951005359993,positive_cross,ambiguous,0.45161387226159655
0,mustang,2024-03-29 18:42:06+00:00,40.289746,-88.126284,-108.64435752753457,5.0,-0.10199657606085566,rs8,32.384129693990424,34.276946445528914,1.89281675153849,1,32.384129693990424,81.93132501235189,49.54719531836147,-78.92951005359993,positive_cross,ambiguous,0.44972504677898817
0,mustang,2024-03-29 18:42:07+00:00,40.289748,-88.12629,-108.85753093769915,6.0,-0.21317341016458613,rs8,32.801973047146156,34.23054302529843,1.4285699781522752,1,32.801973047146156,82.23947004625376,49.4374969991076,-78.92951005359993,positive_cross,ambiguous,0.44577739103519953
0,mustang,2024-03-29 18:42:08+00:00,40.289749,-88.126297,-108.95799747088813,7.0,-0.10046653318897825,rs8,33.1615707861662,34.0554898302049,0.8939190440386966,1,33.1615707861662,82.456484124176,49.2949133380098,-78.92951005359993,positive_cross,ambiguous,0.44391689967984804
0,mustang,2024-03-29 18:42:09+00:00,40.28975,-88.126303,-109.05999404694899,8.0,-0.10199657606085566,rs8,33.48955639585266,33.92756117190731,0.4380047760546475,1,33.48955639585266,82.66115770408406,49.1716013082314,-78.92951005359993,positive_cross,ambiguous,0.44202807419723966
0,mustang,2024-03-29 18:42:10+00:00,40.289751,-88.126309,-109.16199062377808,9.0,-0.10199657682909447,rs10,33.80718023836761,33.822389128996754,0.015208890629146765,1,33.80718023836761,82.86860215824055,49.06142191987294,-78.92951005359993,negative_cross,ambiguous,0.44013924870040455
0,mustang,2024-03-29 18:42:11+00:00,40.289752,-88.126315,-109.26398719983895,10.0,-0.10199657606086987,rs10,33.69442792680077,34.15992730116154,0.4654993743607676,1,33.69442792680077,83.07879672821197,49.3843688014112,-78.92951005359993,negative_cross,ambiguous,0.43825042321779584
0,mustang,2024-03-29 18:42:12+00:00,40.289734,-88.126361,-107.19242222317233,11.0,2.0715649766666218,rs10,30.3820974693101,34.53335754738408,4.151260078073978,1,30.3820974693101,81.13012220083496,50.748024731524865,-78.92951005359993,negative_cross,toward_S4,0.47661273760051104
0,mustang,2024-03-29 18:42:13+00:00,40.289701,-88.126402,-103.46085495644077,12.0,3.7315672667315596,rs10,25.853785810930987,33.945949468767516,8.09216365783653,1,25.853785810930987,76.97050418046457,51.11671836953359,-78.92951005359993,negative_cross,toward_S4,0.545715835132577
0,mustang,2024-03-29 18:42:14+00:00,40.289646,-88.126419,-97.32011837949861,13.0,6.14073657694216,rs10,19.57098337945788,31.010795281214598,11.43981190175672,1,19.57098337945788,70.71704544946228,51.1460620700044,-78.92951005359993,negative_cross,toward_S4,0.6594331791500244
0,mustang,2024-03-29 18:42:15+00:00,40.289584,-88.126419,-90.4271546966671,14.0,6.892963682831507,rs10,13.036299471417522,27.519733359967855,14.483433888550334,1,13.036299471417522,63.882205159976685,50.845905688559164,-78.92951005359993,negative_cross,toward_S4,0.7870806547580153
0,mustang,2024-03-29 18:42:16+00:00,40.289523,-88.126421,-83.64230776219559,15.0,6.784846934471517,rs10,7.171238097659434,25.64476027893655,18.473522181277115,1,7.171238097659434,57.145679228968376,49.97444113130894,-78.92951005359993,negative_cross,toward_S4,0.9127259683593396
0,mustang,2024-03-29 18:42:17+00:00,40.289461,-88.126423,-76.74628399359862,16.0,6.896023768596962,rs10,5.039269946655903,25.506838880698634,20.46756893404273,1,5.039269946655903,50.31307798270328,45.27380803604737,-78.92951005359993,negative_cross,toward_S4,1.0404301122222464
0,mustang,2024-03-29 18:42:18+00:00,40.289394,-88.126428,-69.28978592823742,17.0,7.4564980653612025,rs10,10.104953664301329,27.610628616857483,17.505674952556156,1,10.104953664301329,42.906500673820936,32.80154700951961,-78.92951005359993,negative_cross,toward_S4,1.1785134097289354
0,mustang,2024-03-29 18:42:19+00:00,40.289323,-88.126431,-61.391640614596724,18.0,7.898145313640697,rs10,17.50894195221367,31.49862205287904,13.989680100665367,1,17.50894195221367,35.12784745811502,17.61890550590135,-78.92951005359993,negative_cross,toward_S4,1.3247753599815408
0,mustang,2024-03-29 18:42:20+00:00,40.289248,-88.126434,-53.04878796609937,19.0,8.342852648497356,rs10,25.656387457232796,26.992446813979445,1.3360593567466488,1,25.656387457232796,26.992446813979445,1.3360593567466488,-78.92951005359993,negative_cross,toward_S4,1.4792726312500104
0,mustang,2024-03-29 18:42:21+00:00,40.28917,-88.126436,-44.373934859764425,20.0,8.674853106334943,rs7,18.766859436401724,31.72727290233031,12.960413465928585,2,18.766859436401724,34.2412864937356,15.474427057333877,-27.632700444717127,negative_cross,toward_S4,1.6899771404620871
