node,latitude,longitude,x_m,y_m,axis_m,cross_m,ref_latitude,ref_longitude,station_id,station_axis_m,station_cross_m,station_x_m,station_y_m
rs8,40.2894818,-88.1261236,16.971210557329304,79.22360536111175,-79.59480803898326,15.13499809577012,40.288769325,-88.1263236875,1,-78.92951005359993,0.0740276110910818,1.898884120179389,78.9066998204218
rs10,40.2894761,-88.126479,-13.173442316970526,78.58979427973186,-78.2642120682166,-14.986942873587957,40.288769325,-88.1263236875,1,-78.92951005359993,0.0740276110910818,1.898884120179389,78.9066998204218
rs6,40.2890204,-88.1261176,17.48012422422763,27.918266207429557,-28.314949595540543,16.829972082351727,40.288769325,-88.1263236875,2,-27.632700444717127,-0.40679402506024864,0.23219186093669997,27.634719144727768
rs7,40.2890153,-88.1265243,-17.01574050235423,27.351172082025975,-26.95045129389371,-17.643560132472224,40.288769325,-88.1263236875,2,-27.632700444717127,-0.40679402506024864,0.23219186093669997,27.634719144727768
rs3,40.288536,-88.1261122,17.9381465250388,-25.944556258941166,25.522885143481943,18.533198164090326,40.288769325,-88.1263236875,3,26.33125891160298,-0.5501985149529389,-1.1588388287862834,-26.311499516810862
rs5,40.2885294,-88.1265625,-20.255824182611367,-26.67844277468056,27.139632679724016,-19.633595193996204,40.288769325,-88.1263236875,3,26.33125891160298,-0.5501985149529389,-1.1588388287862834,-26.311499516810862
rs1,40.2880557,-88.1261142,17.768508635269125,-79.35147952627213,78.91945426068953,19.59839129563797,40.288769325,-88.1263236875,4,80.2309515867141,0.8829649289221067,-0.972237151124455,-80.22991944675854
rs2,40.2880399,-88.1265561,-19.712982937518035,-81.10835936724496,81.54244891273865,-17.832461437793757,40.288769325,-88.1263236875,4,80.2309515867141,0.8829649289221067,-0.972237151124455,-80.22991944675854
