tracker_mode,joint_station_side_accuracy,direction_accuracy_non_ambiguous,point_accuracy,mean_xy_error_m,p95_xy_error_m,mean_step_m,p95_step_m,reset_rate,n_samples,lag_steps
lag_1,0.3948101351810339,0.34702529886016126,0.13280347802459072,49.653812384727615,159.90195838591484,12.831817756777106,54.211349077932454,0.0,14721,1
lag_5,0.4229332246450649,0.34702529886016126,0.15827729094490864,45.9832663927969,154.2747141591683,10.56694975794202,32.93849093924439,0.0,14721,5
lag_10,0.43271516880646693,0.34702529886016126,0.16418721554242238,44.692805661276985,152.088548424128,9.121766101647502,27.189153427681873,0.0,14721,10
