loop_node_index,rs10__mic,rs1__mic,rs2__mic,rs3__mic,rs5__mic,rs6__mic,rs7__mic,rs8__mic
0,0.13579184572898656,-0.19863790257469904,-0.7162014025952602,-0.5530401072343899,0.13719763152740502,-0.6308392759477083,-0.4067153019152317,-0.4730268465601817
1,0.6533182961698999,-0.4995968142199592,-0.42936725583621105,-0.48071987962361906,0.19708309138702942,-0.3427182431016052,-0.4977307475150546,-0.4078820639419902
2,0.7812431762989955,-0.5731052491207993,-0.5905776392142209,-0.5222177699871755,-0.010541227721750543,-0.2853980749715026,-0.3783433123902773,-0.2897674671071268
3,1.1213293874588701,-0.356012765873117,-0.25154573627972254,-0.4300221162292339,0.2342752345586982,-0.27201447789923516,-0.454032164545482,-0.20489516132169922
4,1.3205861408684707,-0.17645097411335836,-0.0045551575759694655,-0.4647808919998579,0.31367903950807374,-0.37055117514703584,-0.3315615447528348,-0.1604344861312208
5,1.3120049231700959,-0.23415477990862607,-0.5927550731953914,-0.5211188513084359,-0.1433110425707774,-0.08336271762990483,-0.46192458672144626,0.3939575383156181
6,1.1378192140539904,-0.2509329623292323,-0.5549476784942258,-0.5452061626245628,-0.11741481676517951,-0.0619077220525713,-0.44289251040625344,0.6659675620958095
7,0.9636335049378851,-0.26771114474983854,-0.5171402837930601,-0.5692934739406896,-0.0915185909595816,-0.040452726475237774,-0.42386043409106056,0.937977585876001
8,0.7746181922965755,-0.509118693985241,-0.3094441662319676,-0.3912861318911001,-0.12998867641243944,0.1887445035876248,-0.6309284861954164,1.3913839292115844
9,0.17402407281588236,-0.3301017327519481,-0.2566440748606247,-0.49132288620215664,-0.06287717257159811,0.7384633216342262,-0.5264576003627692,1.6722951092771607
10,-0.02830030993777702,-0.28828844139739634,-0.2929138305186162,-0.4763734712935904,-0.2093198938566652,0.9661679701011835,-0.47705247899550707,1.3294341806749896
11,-0.23062469269143637,-0.2464751500428446,-0.3291835861766077,-0.46142405638502426,-0.35576261514173224,1.1938726185681408,-0.4276473576282449,0.9865732520728188
12,0.020448235249251594,-0.12389638321754161,-0.030701161210664393,-0.5205150456123614,-0.07097011488644075,1.194977645583059,-0.4438523968307372,0.6603052412012862
13,-0.13900227774835353,-0.3034206606528067,0.03831344675894832,-0.6343206888608917,-0.32915130280681704,1.2383057240353097,-0.5418499903713613,0.25275550378236067
14,-0.27060080801831016,-0.2228041481368821,0.23364271720433286,-0.5942085706877251,-0.3470032796919148,0.9306371532953038,-0.5403084250700391,-0.1312957949728513
15,-0.2105353703020877,-0.28508709969821816,0.450135035295416,-0.5427606405368295,-0.24406403151104508,0.7228012426513619,-0.45632628986183843,-0.16801254468552926
16,-0.15046993258586525,-0.3473700512595542,0.666627353386499,-0.49131271038593394,-0.14112478333017536,0.51496533200742,-0.3723441546536378,-0.20472929439820722
17,-0.28293504574863976,-0.47552635326820075,1.0581472898925741,-0.5681095759436304,-0.37734734436006473,0.20255397703797268,-0.3842737973135104,-0.1910673900871173
18,-0.4213677765488343,-0.5554274251758462,1.1846147296137697,-0.7291660010164023,-0.36317192586788094,-0.14875872179899857,-0.40748619440696343,-0.2201039231733785
