feature,mean,std
rs10__mic,5.1827825970048575,1.0798571257002327
rs1__mic,5.229703842819791,1.0607513233182924
rs2__mic,5.565648326514053,1.1250332257844264
rs3__mic,5.24729902873471,0.99429165326574
rs5__mic,5.607749242969856,1.0934938293238678
rs6__mic,5.193743798948507,1.0143007649804943
rs7__mic,5.410400518090677,0.8939325883283794
rs8__mic,5.107182341835033,1.122624322807863
