tracker_mode,station_accuracy,side_accuracy,joint_station_side_accuracy,direction_accuracy_non_ambiguous,n_samples
hybrid_mic,0.437606140887168,0.6214931050879696,0.32484206235989405,0.5488601612454823,14721
fused,0.3910739759527206,0.6312750492493716,0.3031044086678894,0.313108145676953,14721
mic,0.38326200665715643,0.6320222810950343,0.30086271313090146,0.33847650820127884,14721
template_mic,0.39453841450988386,0.5911283200869506,0.26798451192174444,0.1609674728940784,14721
template_fused,0.3734800624957544,0.5718361524352965,0.24060865430337613,0.14949958298582153,14721
sensor_centroid_fused,0.29474899803002513,0.6638135996195911,0.22532436655118537,0.540728384765082,14721
geo,0.3287820120915699,0.5663338088445078,0.22097683581278446,0.30553238810119543,14721
sensor_centroid_mic,0.2942734868555125,0.6593981387134026,0.21968616262482168,0.5488601612454823,14721
template_geo,0.3344202160179336,0.5470416411928537,0.20059778547653012,0.1497775924381429,14721
sensor_centroid_geo,0.27545683037837104,0.5819577474356362,0.1939406290333537,0.5224492632749513,14721
viterbi_mic,0.29997962094966374,0.508389375721758,0.1445553970518307,0.0,14721
linear_fused,0.30052306229196385,0.5078459343794579,0.14340058419944296,0.0,14721
linear_geo,0.30052306229196385,0.5078459343794579,0.14340058419944296,0.0,14721
linear_mic,0.30052306229196385,0.5078459343794579,0.14340058419944296,0.0,14721
viterbi_fused,0.30052306229196385,0.5078459343794579,0.14340058419944296,0.0,14721
viterbi_geo,0.30052306229196385,0.5078459343794579,0.14340058419944296,0.0,14721
