run_id,label,start_elapsed_s,end_elapsed_s,continuity_joint_acc,smoothed_joint_acc,runtime_joint_acc,lagged_joint_acc,continuity_mean_xy_error_m,smoothed_mean_xy_error_m,runtime_mean_xy_error_m,lagged_mean_xy_error_m,estimated_delay_s,clean_xy_path,timing_path,loop_selection
0,mustang,438.0,485.0,0.8541666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,17.161141494939585,8.06932672989967,8.16171880059777,21.948843031590542,0.0,run0_smoothed_continuity_clean_xy.png,run0_smoothed_continuity_timing.png,best_smoothed
1,mustang,2553.0,2599.0,0.6956521739130435,0.8478260869565217,0.8695652173913043,0.4782608695652174,35.78587984136349,9.312063813165526,9.385596498340396,32.440356512561586,0.0,run1_smoothed_continuity_clean_xy.png,run1_smoothed_continuity_timing.png,best_smoothed
4,gle350,57.0,104.0,0.5416666666666666,0.75,0.7083333333333334,0.3541666666666667,40.09481921023254,9.350095249776045,10.09631026509066,50.742116587890884,0.0,run4_smoothed_continuity_clean_xy.png,run4_smoothed_continuity_timing.png,best_smoothed
5,gle350,2249.0,2287.0,0.5897435897435898,0.6923076923076923,0.6923076923076923,0.41025641025641024,32.44361035425829,9.146917700078982,9.146917700078982,29.06076662052583,0.0,run5_smoothed_continuity_clean_xy.png,run5_smoothed_continuity_timing.png,best_smoothed
